Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
138;112;250;0.5520;1.0000;4.45;1;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
129;121;250;0.5160;1.0000;2.04;1;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
72;178;250;0.2880;1.0000;5.79;3;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
121;129;250;0.4840;1.0000;5.62;3;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
135;115;250;0.5400;1.0000;5.40;3;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
137;113;250;0.5480;1.0000;4.73;3;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
144;106;250;0.5760;1.0000;2.18;3;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
77;173;250;0.3080;1.0000;5.80;5;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
118;132;250;0.4720;1.0000;5.64;5;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
132;118;250;0.5280;1.0000;5.40;5;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
141;109;250;0.5640;1.0000;4.62;5;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
148;102;250;0.5920;1.0000;2.08;5;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
80;170;250;0.3200;1.0000;5.79;7;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
119;131;250;0.4760;1.0000;5.63;7;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
129;121;250;0.5160;1.0000;5.33;7;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
139;111;250;0.5560;1.0000;4.53;7;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
142;108;250;0.5680;1.0000;2.03;7;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
77;173;250;0.3080;1.0000;5.74;8;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
116;134;250;0.4640;1.0000;5.64;8;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
135;115;250;0.5400;1.0000;5.46;8;5;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
145;105;250;0.5800;1.0000;4.48;8;7;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
148;102;250;0.5920;1.0000;2.04;8;9;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
78;172;250;0.3120;1.0000;5.77;10;1;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
123;127;250;0.4920;1.0000;5.64;10;3;1.0;haarcascades/haarcascade_frontalface_alt.xml;0;dup1
